Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Nils Piwernetz;D (L), DM, M/AM (C);26;€55K - €190K;3. Liga;Germany;3.7;10.3;40%;0.2;0%;0;0.0;0.5;0.1;87%;9.7;0;1.5;10.4;2.6;2.3;0.4;0.2;0;59.1;5.2;11.7;0.5;0.3;26;0.1;0.4;0.4;0.7;0.0;12.4;0.0;3.1;0.1;0.8;1.1;0.2;1.5;5;0.0;34;-0.32;29;0.0;0;1025
Kaan Çalışkaner;M/AM (C), ST (C);26;€6K;3. Liga;Germany;1.3;3.5;51%;0.0;14%;0;0.0;1.1;0.3;86%;7.3;0;0.1;3.8;1.2;0.5;0.8;1.3;0;28.6;2.1;7.1;1.1;1.4;7;0.1;2.5;0.1;0.1;0.4;11.7;0.3;9.8;0.1;1.1;2.8;0.1;1.1;13;0.0;29;-0.98;11;0.4;0;1247
Aaron Opoku;M (L), AM (RLC);27;€150K - €1.5M;Bundesliga 2;Germany;2.3;3.5;38%;0.0;6%;0;0.0;1.5;0.2;87%;21.7;0;0.4;8.0;2.4;1.7;0.2;0.3;0;42.8;2.9;12.5;1.5;5.7;36;0.6;0.8;0.0;0.4;0.0;11.4;0.1;4.3;0.1;3.6;1.1;0.1;3.6;16;0.1;25;-1.37;45;0.1;0;1854
Christian Viet;DM, M/AM (C);27;€250K - €850K;3. Liga;Germany;2.2;6.0;50%;0.0;16%;0;0.0;1.6;0.5;85%;10.9;0;0.4;6.0;1.0;0.8;0.8;0.8;0;52.5;3.7;14.4;1.8;1.5;17;0.4;1.7;0.2;0.4;0.3;12.8;0.2;3.0;0.2;1.2;1.0;0.2;2.1;25;0.0;33;-0.85;26;0.3;0;2039
Leon Sommer;D/WB/M/AM (R);25;€1.5K - €12K;3. Liga;Germany;2.2;8.9;21%;0.1;0%;0;0.0;2.3;0.8;79%;17.6;0;1.7;7.4;1.4;1.5;0.8;0.2;0;42.7;5.6;24.9;2.3;1.4;20;1.4;1.1;0.5;0.8;0.0;13.7;0.0;3.7;0.2;8.4;2.9;0.2;8.6;17;0.6;78;-0.64;36;0.0;0;1191
Marvin Obuz;M/AM (RL);24;€18K - €190K;3. Liga;Germany;2.3;6.8;59%;0.0;8%;0;0.0;1.9;0.7;86%;20.6;0;0.9;11.3;3.0;1.7;1.1;1.1;0;44.5;4.9;17.4;2.7;6.3;53;1.4;1.9;0.3;0.5;0.2;12.7;0.1;3.7;0.3;8.6;1.0;0.4;13.6;14;0.0;26;0.06;74;0.2;0;2830
Jonathan Meier;D/WB (L);26;€4K;3. Liga;Germany;3.0;10.3;17%;0.3;0%;0;0.0;1.3;0.3;86%;11.8;0;1.4;6.4;1.9;1.9;0.3;0.0;0;48.4;6.6;18.1;1.3;1.2;46;1.0;0.3;0.1;0.7;0.0;12.6;0.0;2.5;0.1;4.9;1.2;0.2;5.7;17;0.4;47;-0.17;61;0.0;0;2124
Jonas David;D (C), DM;26;€110K - €1.1M;3. Liga;Germany;3.9;10.2;40%;0.1;0%;0;0.0;0.3;0.0;91%;4.4;0;1.2;1.9;0.3;0.3;0.0;0.1;0;39.3;2.0;5.0;0.3;0.1;8;0.0;0.2;0.7;0.8;0.0;10.2;0.0;6.1;0.0;0.2;4.2;0.0;0.2;0;1.0;69;-0.28;11;0.0;0;2610
Tobias Fleckstein;D (C);27;€65K - €650K;3. Liga;Germany;3.0;11.2;25%;0.2;0%;0;0.0;0.1;0.1;88%;6.2;0;1.0;2.0;0.6;0.4;0.0;0.1;0;49.1;2.7;5.6;0.1;0.0;14;0.0;0.3;0.4;0.5;0.0;10.5;0.0;4.5;0.0;0.1;2.9;0.0;0.1;0;0.4;65;-0.76;23;0.0;0;3108
Lukas Schleimer;M (C), AM (RLC), ST (C);26;€70K - €700K;3. Liga;Germany;1.9;6.7;53%;0.0;15%;0;0.0;1.5;0.5;86%;11.8;0;0.4;4.6;1.2;0.9;1.2;1.4;0;41.4;3.6;13.9;2.0;1.8;18;0.3;2.6;0.1;0.3;0.4;11.9;0.3;5.6;0.3;1.8;1.4;0.2;5.5;15;0.0;26;1.42;24;0.3;0;1866
Fatih Kaya;AM (LC), ST (C);26;€275K - €900K;3. Liga;Germany;0.7;2.4;54%;0.0;20%;0;0.0;1.2;0.4;88%;7.6;0;0.2;1.6;0.3;0.2;0.9;1.1;0;26.2;1.0;8.6;1.4;1.0;5;0.1;2.0;0.1;0.1;0.4;11.7;0.3;8.3;0.1;0.8;1.7;0.1;2.7;9;0.0;21;4.27;8;0.3;0;2689
Dominic Minz;D (RLC);27;€0 - €14K;3. Liga;Germany;3.0;12.3;33%;0.1;0%;0;0.0;0.2;0.1;76%;11.3;0;1.5;1.7;0.7;0.5;0.0;0.1;0;46.4;3.5;6.3;0.2;0.0;19;0.0;0.2;0.3;0.3;0.0;10.3;0.0;6.5;0.0;0.0;4.5;0.0;0.0;0;0.8;70;-0.54;22;0.0;0;3420
