Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Nunoo Sarpei;D (C), DM, M (C);27;0 € - 50K €;Regional Div. Southwest;Germany;2,8;13,8;33%;0,1;33%;0;0,0;0,7;0,0;89%;5,4;0;1,1;5,2;1,5;0,9;0,0;0,1;0;47,7;3,0;9,7;0,7;0,1;13;0,1;0,2;0,3;0,5;0,1;11,9;0,0;3,6;0,1;0,2;2,1;0,1;0,2;33;0,3;58;0.51;15;0,0;0;1338
Niklas Castelle;AM (RLC), ST (C);23;26K € - 250K €;3. Liga;Germany;2,0;6,6;46%;0,0;11%;0;0,0;1,4;0,5;87%;12,7;0;0,4;8,6;1,9;1,3;0,5;1,1;0;44,9;2,9;16,2;1,4;2,7;20;0,8;2,3;0,1;0,1;0,3;12,4;0,3;5,2;0,2;5,3;1,9;0,3;5,4;15;0,0;37;-0.29;25;0,3;0;1344
Leon Bürger;DM, M (C), AM (LC);26;8K € - 80K €;Regional Div. Northeast;Germany;0,0;11,8;50%;0,0;33%;0;0,0;0,4;0,5;78%;14,2;0;0,0;0,1;0,0;0,0;0,1;0,3;0;0,8;0,1;0,2;0,4;0,0;0;0,0;0,5;0,0;0,0;0,2;0,3;0,1;0,0;0,2;0,0;0,0;0,3;0,0;0;0,0;0;1.26;0;0,1;0;1022
Philip Türpitz;M/AM (RL), ST (C);34;1,5K € - 14K €;Regional Div. Northeast;Germany;2,2;5,7;30%;0,1;18%;0;0,0;1,8;0,3;90%;13,5;0;0,7;9,7;1,8;1,0;0,7;0,7;0;40,9;3,7;13,8;1,8;4,2;13;0,9;2,4;0,0;0,1;0,4;10,6;0,2;3,1;0,2;4,5;0,6;0,2;4,5;19;0,0;19;2.64;22;0,2;0;1229
Pierre Nadjombe;D/WB (RL);22;300K € - 1,1M €;3. Liga;Germany;4,4;11,9;25%;0,2;0%;0;0,0;1,5;0,5;90%;13,3;0;1,5;6,5;1,8;2,3;0,4;0,1;0;59,4;10,3;19,1;1,6;2,2;43;1,2;0,4;0,2;0,6;0,0;12,9;0,0;4,1;0,2;7,1;2,5;0,4;7,1;17;0,2;60;-0.3;54;0,0;0;1704
Michel Stöcker;D (LC), WB (L);26;20K € - 200K €;3. Liga;Germany;3,6;9,8;17%;0,2;0%;0;0,0;0,3;0,0;88%;5,4;0;1,1;2,3;0,6;0,5;0,1;0,0;0;44,7;3,5;6,2;0,3;0,0;11;0,0;0,3;0,4;0,7;0,0;10,7;0,0;5,0;0,0;0,3;2,9;0,0;0,3;12;0,7;57;-0.46;14;0,0;0;2073
Felix Herzenbruch;D (LC), WB (L);33;2,5K € - 24K €;Regional Div. West;Germany;3,2;16,2;11%;0,0;0%;0;0,0;1,2;0,0;90%;9,8;0;1,0;5,9;1,6;1,5;0,2;0,1;0;52,0;5,3;11,0;1,2;0,4;25;0,2;0,6;1,2;0,3;0,0;11,1;0,0;4,0;0,1;1,6;2,6;0,2;1,6;11;0,8;64;-0.7;31;0,0;0;1470
Mattis Hoppe;D (R), WB (RL);22;60K € - 600K €;3. Liga;Germany;3,2;10,9;43%;0,0;0%;0;0,0;1,3;0,5;88%;8,7;0;0,9;7,5;2,0;1,7;0,4;0,2;0;54,7;7,8;17,4;1,3;0,9;27;0,7;0,4;0,3;0,6;0,0;12,5;0,0;4,4;0,2;2,5;1,5;0,1;2,5;28;0,3;33;-0.26;30;0,0;0;1423
Noah Brdar;GK;20;26K € - 250K €;3. Liga;Germany;0,4;9,4;0%;0,0;0%;71;-0,4;0,1;0,0;65%;11,1;-6.22;4,1;0,0;0,0;0,1;0,0;0,0;83;23,4;1,2;0,0;0,1;0,0;1;0,0;0,0;0,0;0,0;0,0;4,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0;0;0;2;0,0;25;1375
Marc Hornschuh;D (C), DM;34;0 € - 5K €;Regional Div. Southwest;Germany;2,2;19,6;0%;0,1;0%;0;0,0;0,2;0,0;90%;4,4;0;0,7;3,5;1,3;0,8;0,1;0,0;0;46,6;3,0;5,2;0,2;0,1;12;0,1;0,3;0,9;0,3;0,0;10,0;0,1;5,4;0,0;0,3;3,4;0,1;0,3;40;1,1;62;-1.06;16;0,1;0;1356
